(128, 4, 50)
Tensor("sigmoid/Wx_plus_b/Tensordot:0", shape=(128, 4, 2), dtype=float32)
step 1, training accuracy 374.078
step 11, training accuracy 329.246
step 21, training accuracy 221.548
step 31, training accuracy 154.738
step 41, training accuracy 131.73
step 51, training accuracy 119.577
step 61, training accuracy 110.934
step 71, training accuracy 104.178
step 81, training accuracy 98.6722
step 91, training accuracy 94.3609
step 101, training accuracy 92.1905
step 111, training accuracy 88.8281
step 121, training accuracy 86.5572
step 131, training accuracy 83.9857
step 141, training accuracy 78.141
step 151, training accuracy 74.5475
step 161, training accuracy 71.386
step 171, training accuracy 72.2521
step 181, training accuracy 65.3202
step 191, training accuracy 59.5309
step 201, training accuracy 65.4306
step 211, training accuracy 57.0248
step 221, training accuracy 52.8334
step 231, training accuracy 49.8556
step 241, training accuracy 45.574
step 251, training accuracy 37.2826
step 261, training accuracy 59.5079
step 271, training accuracy 33.2077
step 281, training accuracy 31.1978
step 291, training accuracy 30.8361
step 301, training accuracy 28.9307
step 311, training accuracy 27.5782
step 321, training accuracy 25.9302
step 331, training accuracy 25.455
step 341, training accuracy 24.1701
step 351, training accuracy 22.8379
step 361, training accuracy 23.9666
step 371, training accuracy 20.4086
step 381, training accuracy 18.7701
step 391, training accuracy 19.6869
step 401, training accuracy 17.3402
step 411, training accuracy 37.8537
step 421, training accuracy 12.469
step 431, training accuracy 10.3007
step 441, training accuracy 8.7455
step 451, training accuracy 21.932
step 461, training accuracy 7.83678
step 471, training accuracy 7.17422
step 481, training accuracy 6.47877
step 491, training accuracy 5.71795
step 501, training accuracy 4.96278
step 511, training accuracy 4.25887
step 521, training accuracy 3.66023
step 531, training accuracy 3.78432
step 541, training accuracy 3.49712
step 551, training accuracy 3.28542
step 561, training accuracy 3.06786
step 571, training accuracy 2.83117
step 581, training accuracy 2.57072
step 591, training accuracy 2.30623
step 601, training accuracy 2.05521
step 611, training accuracy 1.81994
step 621, training accuracy 1.58772
step 631, training accuracy 121.276
step 641, training accuracy 1.52456
step 651, training accuracy 1.41459
step 661, training accuracy 1.30286
step 671, training accuracy 1.21539
step 681, training accuracy 1.10608
step 691, training accuracy 1.00234
step 701, training accuracy 0.899122
step 711, training accuracy 38.5847
step 721, training accuracy 0.939194
step 731, training accuracy 0.875106
step 741, training accuracy 0.817266
step 751, training accuracy 0.754875
step 761, training accuracy 0.687737
step 771, training accuracy 0.618533
step 781, training accuracy 0.551768
step 791, training accuracy 0.490536
step 801, training accuracy 0.435561
step 811, training accuracy 0.386444
step 821, training accuracy 0.342684
step 831, training accuracy 0.302982
step 841, training accuracy 0.263993
step 851, training accuracy 0.225502
step 861, training accuracy 141.269
step 871, training accuracy 0.293882
step 881, training accuracy 0.262858
step 891, training accuracy 0.237606
step 901, training accuracy 0.217626
step 911, training accuracy 0.199929
step 921, training accuracy 0.184851
step 931, training accuracy 0.170821
step 941, training accuracy 0.156224
step 951, training accuracy 0.141209
step 961, training accuracy 0.125681
step 971, training accuracy 0.109288
step 981, training accuracy 0.0936655
step 991, training accuracy 0.0804601
step 1001, training accuracy 0.0696551
step 1011, training accuracy 0.0594682
step 1021, training accuracy 0.0502659
step 1031, training accuracy 0.0415795
step 1041, training accuracy 0.035183
step 1051, training accuracy 0.0303041
step 1061, training accuracy 0.0262317
step 1071, training accuracy 0.0227284
step 1081, training accuracy 0.0196223
step 1091, training accuracy 0.0167973
step 1101, training accuracy 0.0146827
step 1111, training accuracy 0.0198392
step 1121, training accuracy 0.0195625
step 1131, training accuracy 0.0191572
step 1141, training accuracy 0.0185945
step 1151, training accuracy 0.0178641
step 1161, training accuracy 0.0169915
step 1171, training accuracy 0.0160387
step 1181, training accuracy 0.0150875
step 1191, training accuracy 0.0142286
step 1201, training accuracy 0.0134377
step 1211, training accuracy 0.0126318
step 1221, training accuracy 0.0117846
step 1231, training accuracy 0.0108933
step 1241, training accuracy 0.00996193
step 1251, training accuracy 0.00900253
