step 1, training cost 370.575
step 21, training cost 211.926
step 41, training cost 129.484
step 61, training cost 110.145
step 81, training cost 98.9233
step 101, training cost 91.432
step 121, training cost 87.3921
step 141, training cost 81.0395
step 161, training cost 77.9104
step 181, training cost 76.2485
step 201, training cost 53.5973
step 221, training cost 45.6622
step 241, training cost 39.5817
step 261, training cost 31.4059
step 281, training cost 29.3391
step 301, training cost 33.3914
step 321, training cost 24.7262
step 341, training cost 24.713
step 361, training cost 21.9177
step 381, training cost 22.6568
step 401, training cost 17.1193
step 421, training cost 17.3262
step 441, training cost 13.5709
step 461, training cost 11.1324
step 481, training cost 9.95716
step 501, training cost 8.66821
step 521, training cost 7.42644
step 541, training cost 6.17706
step 561, training cost 5.12018
step 581, training cost 4.92529
